Step number,Repeats,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,Open Circuit Potential,5.00033234991133,3.50065350532532,3.50065350532532,0,0,0,0.00021073967218399
1,1,Open Circuit Potential,10.0003323499113,3.50064277648926,3.50064277648926,0,0,0,0.000199295580387115
1,1,Open Circuit Potential,15.000332359923,3.50065732002258,3.50065732002258,0,0,0,0.000204779207706451
1,1,Open Circuit Potential,20.000332359923,3.50064563751221,3.50064563751221,0,0,0,0.000201202929019928
1,1,Open Circuit Potential,25.0003323699348,3.50063323974609,3.50063323974609,0,0,0,0.000223375856876373
1,1,Open Circuit Potential,30.0003323499113,3.50063943862915,3.50063943862915,0,0,0,0.000204779207706451
1,1,Open Circuit Potential,35.0003324500285,3.50062203407288,3.50062203407288,0,0,0,0.000206686556339264
1,1,Open Circuit Potential,40.000332359923,3.50063586235046,3.50063586235046,0,0,0,0.000202156603336334
1,1,Open Circuit Potential,45.0003323499113,3.50066328048706,3.50066328048706,0,0,0,0.000208832323551178
1,1,Open Circuit Potential,50.0003323499113,3.50065112113953,3.50065112113953,0,0,0,0.000221706926822662
1,1,Open Circuit Potential,55.000332359923,3.50064778327942,3.50064778327942,0,0,0,0.000196434557437897
1,1,Open Circuit Potential,59.9999623498879,3.50064635276794,3.50064635276794,0,0,0,0.000231243669986725
