,scan2,scan4,scan6,scan8
P180_03_1,0.044177593203254685,0.037426938037775,0.03618885644391918,0.03760370682277321
P180_03_2,0.040354558907697555,0.03758138124873271,0.03485219056275829,0.033747298279899744
P180_03_3,0.036518597450715354,0.032784408872790015,0.03238825919558648,0.031238550573516686
P180_03_4,0.03887285643950869,0.03329981010138391,0.036400661373944265,0.03729029036527914
P180_03_5,0.04501428801971211,0.041864738570457825,0.04023015597421734,0.038961797168865005
P180_03_1,0.03312815803205075,0.028725199215124425,0.027300245129274484,0.029136464867950077
P180_03_2,0.02923784046350463,0.0285568184200818,0.025270201098585736,0.024313992404934263
P180_03_3,0.024131111996528985,0.024173390598153592,0.023682752837987722,0.02359721990217563
P180_03_4,0.027429992274214138,0.024177117095951498,0.027034834154149055,0.02792489096702429
P180_03_5,0.034080269377179756,0.032928592293503915,0.031195856412811394,0.02976086764417129
P180_03_1,0.023784377402422036,0.017648104841118645,0.0175312926719672,0.016239905468039682
P180_03_2,0.026196341148584254,0.019675870888217428,0.02015796123790657,0.019094836892067223
P180_03_3,0.025590607810705997,0.01822851920474984,0.018148767491265205,0.017496504808210828
P180_03_4,0.024540688023916832,0.01857645148283616,0.018768968492258925,0.01825706264017774
P180_03_5,0.023356924930005282,0.01815710996512547,0.018068599122811897,0.017831258768786273
P180_03_1,0.05606978190446571,0.04535984853071348,0.044058615078229106,0.04464871673049714
P180_03_2,0.054507788408406144,0.04738058466353391,0.04459321719646067,0.042533966252145824
P180_03_3,0.04921194674327668,0.041991861313635026,0.041425755202415704,0.04059382457300901
P180_03_4,0.050599427980802275,0.04183394226775616,0.04487095132969531,0.045307363780127646
P180_03_5,0.056925389179236716,0.05019564784857422,0.048532933303930506,0.04691453857974368
P180_03_1,-0.07672134791708154,0.7534200648927765,0.9654868798525666,0.74709040368363
P180_03_2,0.06609142891110381,1.0603369369421372,0.7745424666611843,0.6328569769349096
P180_03_3,0.22034267741601662,0.7529819610115429,0.7176966245604423,0.7187287534285588
P180_03_4,0.2806128746264509,0.8013895843714299,0.7416826921696229,0.7953807134680404
P180_03_5,0.02193741438607773,1.5240142707236688,0.8278035228729302,0.9595060152427294
P180_03_1,1.3398692810457524,1.34527687296417,1.3521594684385372,1.3456375838926165
P180_03_2,1.3031250000000005,1.3021806853582554,1.3173076923076927,1.3224755700325743
P180_03_3,1.3333333333333335,1.3278688524590172,1.3311475409836064,1.335548172757474
P180_03_4,1.2910216718266263,1.3431372549019602,1.3433333333333326,1.3501683501683504
P180_03_5,1.335526315789473,1.3419354838709658,1.3511705685618731,1.3509933774834437
P180_03_1,0,0,0,0
P180_03_2,0,0,0,0
P180_03_3,0,0,0,0
P180_03_4,0,0,0,0
P180_03_5,0,0,0,0
P180_03_1,0.007334004620136544,0.005286803719155451,0.005230631267163538,0.004913185507281938
P180_03_2,0.00803476121067041,0.006009695247220755,0.006086987244476141,0.00571483483964906
P180_03_3,0.008126370201745326,0.005809672805240798,0.005838572552559079,0.005616516208044235
P180_03_4,0.007309920507596505,0.005551541355123838,0.005612297131178013,0.0054186548982296375
P180_03_5,0.007352977797897063,0.005513948676500562,0.005542592528281983,0.00547246133829546
