Step number,Repeats,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (A),Current Density (A/m^2),Cumulative Charge (mAh),Counter Electrode (V)
1,1,Open Circuit Potential,5.00032819062471,3.55514216423035,3.55514216423035,0,0,0,0.000151850283145905
1,1,Open Circuit Potential,10.0003281803802,3.55514621734619,3.55514621734619,0,0,0,0.000149466097354889
1,1,Open Circuit Potential,15.0003281803802,3.5551323890686,3.5551323890686,0,0,0,0.000150658190250397
1,1,Open Circuit Potential,20.0003286106512,3.55515217781067,3.55515217781067,0,0,0,0.000166632235050201
1,1,Open Circuit Potential,25.0003281803802,3.55508875846863,3.55508875846863,0,0,0,0.000162579119205475
1,1,Open Circuit Potential,30.0003281803802,3.55512976646423,3.55512976646423,0,0,0,0.00017259269952774
1,1,Open Circuit Potential,35.0003281906247,3.55512857437134,3.55512857437134,0,0,0,0.000189520418643951
1,1,Open Circuit Potential,40.0003281803802,3.55514049530029,3.55514049530029,0,0,0,0.00018618255853653
1,1,Open Circuit Potential,45.0003281803802,3.55511903762817,3.55511903762817,0,0,0,0.000168539583683014
1,1,Open Circuit Potential,50.0003281906247,3.5551323890686,3.5551323890686,0,0,0,0.000170685350894928
1,1,Open Circuit Potential,55.0003281906247,3.55515003204346,3.55515003204346,0,0,0,0.000189997255802155
1,1,Open Circuit Potential,59.9999481905252,3.55512952804565,3.55512952804565,0,0,0,0.000174261629581451
